respondent_id,month,region,segment,prefecture,age,gender,household_size,has_children,youngest_child_age,relationship_status,income_bracket,awareness,familiarity,opinion,consideration,likelihood,intent,nps,func_convenience,func_value,func_quality,func_variety,func_reliability,emot_excitement,emot_relaxation,emot_connection,emot_authenticity,emot_memorable
M10_0001,M10,Local,Young Families,Tokyo,32,Other/Prefer not to say,4,TRUE,3,Married,5-7M,6,6,4,3,4,3,8,6,7,6,7,6,6,6,6,6,7
M10_0002,M10,Local,Young Families,Tokyo,33,Female,3,TRUE,3,Married,Over 10M,5,6,5,3,5,4,7,4,3,3,3,3,5,3,2,3,3
M10_0003,M10,Local,Young Families,Aichi,45,Male,4,TRUE,3,Partnered,3-5M,6,4,5,6,2,4,5,2,3,1,3,2,6,4,6,5,5
M10_0004,M10,Local,Young Families,Tokyo,44,Female,3,TRUE,0,Married,Over 10M,5,5,4,5,4,5,6,4,4,4,4,5,3,2,4,3,4
M10_0005,M10,Local,Young Families,Tokyo,29,Male,3,TRUE,2,Partnered,5-7M,5,4,3,3,4,4,5,6,5,4,3,5,5,4,5,2,5
M10_0006,M10,Local,Young Families,Chiba,36,Female,3,TRUE,3,Married,Under 3M,5,5,6,5,5,5,4,3,6,5,6,4,6,5,6,5,5
M10_0007,M10,Local,Young Families,Fukuoka,40,Female,5,TRUE,5,Married,5-7M,5,4,6,5,4,3,4,5,4,5,5,3,4,4,4,3,5
M10_0008,M10,Local,Young Families,Fukuoka,30,Male,5,TRUE,4,Married,3-5M,7,5,5,6,6,5,7,6,6,4,4,5,4,4,4,4,4
M10_0009,M10,Local,Young Families,Osaka,42,Female,5,TRUE,5,Married,Over 10M,6,4,1,2,3,3,7,5,6,4,4,4,5,4,4,4,4
M10_0010,M10,Local,Young Families,Kanagawa,33,Male,4,TRUE,4,Married,7-10M,5,5,5,3,3,3,5,6,5,6,6,6,5,5,6,4,6
M10_0011,M10,Local,Young Families,Osaka,33,Male,3,TRUE,0,Partnered,5-7M,6,5,6,4,5,5,7,5,5,3,4,4,5,4,4,4,3
M10_0012,M10,Local,Young Families,Saitama,37,Other/Prefer not to say,3,TRUE,4,Partnered,5-7M,5,4,5,4,5,4,8,5,6,4,3,6,5,7,6,7,5
M10_0013,M10,Local,Young Families,Saitama,31,Female,5,TRUE,0,Partnered,7-10M,7,3,6,5,5,6,5,4,3,6,3,6,5,5,5,5,4
M10_0014,M10,Local,Young Families,Kanagawa,36,Female,3,TRUE,4,Married,7-10M,5,4,4,2,3,3,4,4,4,4,4,6,5,5,7,5,6
M10_0015,M10,Local,Young Families,Hokkaido,38,Male,4,TRUE,5,Married,5-7M,5,5,5,4,3,3,5,4,4,5,3,4,2,4,4,4,4
