respondent_id,month,region,segment,prefecture,age,gender,household_size,has_children,youngest_child_age,relationship_status,income_bracket,awareness,familiarity,opinion,consideration,likelihood,intent,nps,func_convenience,func_value,func_quality,func_variety,func_reliability,emot_excitement,emot_relaxation,emot_connection,emot_authenticity,emot_memorable
M04_0001,M04,Local,Young Families,Osaka,37,Male,4,TRUE,5,Married,7-10M,7,7,5,4,5,5,6,6,5,4,5,7,5,4,5,4,4
M04_0002,M04,Local,Young Families,Aichi,36,Female,3,TRUE,2,Married,Under 3M,6,4,5,5,4,4,6,4,4,4,4,3,2,1,5,3,3
M04_0003,M04,Local,Young Families,Kanagawa,40,Female,4,TRUE,2,Partnered,7-10M,6,6,5,4,4,4,8,6,5,6,5,5,7,6,7,7,7
M04_0004,M04,Local,Young Families,Tokyo,33,Male,4,TRUE,5,Married,7-10M,4,3,5,5,5,6,2,5,5,4,5,3,5,5,5,5,5
M04_0005,M04,Local,Young Families,Chiba,34,Other/Prefer not to say,3,TRUE,1,Married,5-7M,7,7,6,6,5,4,5,7,7,7,6,5,5,4,3,6,6
M04_0006,M04,Local,Young Families,Tokyo,25,Male,3,TRUE,1,Married,7-10M,6,3,4,5,4,4,7,5,7,4,6,6,6,5,6,5,5
M04_0007,M04,Local,Young Families,Osaka,37,Female,3,TRUE,4,Married,5-7M,6,6,6,5,3,5,6,6,5,6,5,5,6,5,5,5,5
M04_0008,M04,Local,Young Families,Tokyo,40,Female,5,TRUE,3,Married,5-7M,5,5,4,4,4,5,7,5,5,4,4,6,7,5,5,4,6
M04_0009,M04,Local,Young Families,Tokyo,26,Female,3,TRUE,4,Married,7-10M,6,5,5,4,3,4,6,4,4,4,4,5,4,5,3,5,5
M04_0010,M04,Local,Young Families,Tokyo,40,Female,3,TRUE,5,Married,5-7M,6,5,5,5,4,4,6,3,3,5,4,4,7,4,6,5,4
M04_0011,M04,Local,Young Families,Tokyo,28,Male,3,TRUE,5,Married,5-7M,4,5,4,5,1,2,5,5,3,4,3,3,4,3,3,3,3
M04_0012,M04,Local,Young Families,Saitama,35,Male,4,TRUE,4,Married,3-5M,7,5,7,5,5,2,8,5,5,5,5,7,6,5,6,5,4
M04_0013,M04,Local,Young Families,Chiba,34,Male,3,TRUE,2,Married,3-5M,6,5,6,3,4,4,8,7,7,5,7,6,5,4,7,5,6
M04_0014,M04,Local,Young Families,Aichi,27,Male,3,TRUE,0,Married,5-7M,6,5,6,7,3,2,4,5,5,5,6,5,6,5,4,4,5
M04_0015,M04,Local,Young Families,Aichi,36,Female,3,TRUE,3,Married,Under 3M,7,5,4,5,5,5,8,5,4,4,4,4,6,5,4,3,5
M04_0016,M04,Local,Young Families,Osaka,37,Male,3,TRUE,4,Partnered,5-7M,5,4,4,4,4,4,6,4,5,3,5,4,6,4,5,6,5
M04_0017,M04,Local,Young Families,Saitama,30,Male,3,TRUE,5,Married,5-7M,5,4,5,4,5,4,8,7,7,4,7,7,6,5,7,5,6
M04_0018,M04,Local,Young Families,Osaka,36,Male,3,TRUE,4,Married,3-5M,6,5,7,5,3,3,6,6,5,4,6,5,6,6,4,4,6
M04_0019,M04,Local,Young Families,Fukuoka,26,Male,4,TRUE,1,Married,Under 3M,7,6,4,5,3,5,7,6,5,4,5,5,4,3,5,5,2
M04_0020,M04,Local,Young Families,Tokyo,37,Female,3,TRUE,5,Married,7-10M,5,5,6,6,5,5,7,6,6,6,6,5,6,7,6,6,7
M04_0021,M04,Local,Young Families,Kanagawa,45,Male,4,TRUE,3,Married,Under 3M,6,4,5,5,3,4,7,5,6,5,5,7,4,6,6,4,5
M04_0022,M04,Local,Young Families,Tokyo,44,Male,3,TRUE,5,Married,Over 10M,7,4,7,5,5,5,6,5,7,5,4,5,6,5,4,4,4
M04_0023,M04,Local,Young Families,Aichi,38,Female,4,TRUE,3,Married,Under 3M,5,4,5,3,2,2,6,5,4,5,5,6,6,5,4,4,4
M04_0024,M04,Local,Young Families,Aichi,27,Female,3,TRUE,1,Married,Under 3M,6,6,6,6,4,3,8,7,7,6,5,6,6,5,5,4,6
M04_0025,M04,Local,Young Families,Chiba,38,Male,3,TRUE,0,Married,3-5M,6,3,4,4,4,5,5,3,5,4,5,5,5,5,5,4,5
M04_0026,M04,Local,Young Families,Fukuoka,36,Female,4,TRUE,1,Partnered,3-5M,4,3,3,4,5,6,8,4,5,4,3,4,6,7,6,5,7
M04_0027,M04,Local,Young Families,Osaka,43,Male,4,TRUE,4,Married,7-10M,4,3,5,4,3,4,4,3,6,5,6,4,4,5,6,4,5
M04_0028,M04,Local,Young Families,Tokyo,26,Female,3,TRUE,3,Married,3-5M,7,6,5,5,5,4,8,4,5,4,4,3,4,3,5,5,4
M04_0029,M04,Local,Young Families,Kanagawa,41,Male,4,TRUE,3,Married,7-10M,5,4,4,4,3,2,7,6,7,6,7,7,3,4,6,4,5
M04_0030,M04,Local,Young Families,Osaka,45,Female,4,TRUE,4,Married,3-5M,7,4,3,3,2,5,6,6,4,4,5,4,6,4,3,4,5
M04_0031,M04,Local,Young Families,Fukuoka,31,Female,3,TRUE,4,Married,5-7M,6,5,5,5,3,3,6,7,5,5,7,4,4,5,4,6,3
M04_0032,M04,Local,Young Families,Aichi,31,Male,4,TRUE,0,Married,3-5M,7,4,4,4,6,5,9,5,4,2,3,3,6,5,5,4,3
M04_0033,M04,Local,Young Families,Hokkaido,40,Female,4,TRUE,1,Married,7-10M,6,6,5,4,4,4,8,4,5,5,7,5,5,5,4,3,5
M04_0034,M04,Local,Young Families,Hokkaido,26,Female,4,TRUE,0,Partnered,5-7M,4,4,6,4,6,4,7,6,4,4,4,5,4,5,4,4,5
M04_0035,M04,Local,Young Families,Hokkaido,38,Female,4,TRUE,4,Married,5-7M,5,3,3,4,4,3,5,3,3,3,3,3,4,4,6,4,3
M04_0036,M04,Local,Young Families,Fukuoka,27,Other/Prefer not to say,3,TRUE,2,Married,Over 10M,5,7,2,3,5,2,7,4,4,3,3,3,5,4,4,4,3
M04_0037,M04,Local,Young Families,Fukuoka,32,Male,4,TRUE,1,Married,5-7M,5,4,4,4,3,2,7,5,4,5,6,3,7,5,6,5,5
M04_0038,M04,Local,Young Families,Osaka,32,Female,4,TRUE,3,Married,5-7M,6,4,5,6,5,5,7,5,4,7,5,5,7,5,6,5,6
M04_0039,M04,Local,Young Families,Saitama,38,Female,3,TRUE,0,Partnered,5-7M,6,5,5,3,5,4,9,2,4,3,4,4,4,4,6,6,5
M04_0040,M04,Local,Young Families,Kanagawa,31,Male,3,TRUE,1,Married,5-7M,5,5,2,4,2,4,5,4,3,5,4,5,5,4,4,7,3
M04_0041,M04,Local,Young Families,Osaka,27,Male,3,TRUE,3,Partnered,5-7M,5,5,7,4,5,6,8,5,4,4,3,3,5,4,4,6,6
M04_0042,M04,Local,Young Families,Fukuoka,32,Female,4,TRUE,5,Married,Over 10M,5,3,4,4,4,3,7,7,6,6,4,6,5,5,4,6,5
M04_0043,M04,Local,Young Families,Saitama,29,Male,4,TRUE,4,Partnered,5-7M,7,5,5,6,5,3,5,3,4,3,2,3,7,5,4,5,5
M04_0044,M04,Local,Young Families,Hokkaido,38,Male,5,TRUE,5,Partnered,7-10M,7,5,5,6,3,4,6,4,6,4,3,5,4,3,3,4,4
M04_0045,M04,Local,Young Families,Tokyo,44,Male,3,TRUE,2,Partnered,Over 10M,5,4,5,4,4,2,6,4,4,5,4,4,5,5,4,5,4
M04_0046,M04,Local,Young Families,Kanagawa,26,Female,4,TRUE,3,Married,5-7M,5,5,6,4,6,5,6,5,5,4,5,4,7,4,6,5,7
M04_0047,M04,Local,Young Families,Saitama,39,Female,3,TRUE,5,Married,3-5M,5,3,3,4,4,3,6,6,4,5,4,4,4,7,6,5,5
M04_0048,M04,Local,Young Families,Osaka,38,Male,5,TRUE,5,Married,5-7M,4,1,3,3,4,4,6,3,3,3,4,4,4,6,4,4,4
M04_0049,M04,Local,Young Families,Osaka,43,Female,4,TRUE,1,Partnered,3-5M,6,4,4,7,4,4,8,4,5,4,5,5,4,5,5,5,4
M04_0050,M04,Local,Young Families,Osaka,30,Male,3,TRUE,4,Partnered,5-7M,5,5,3,5,4,5,5,5,5,5,6,5,4,5,4,5,5
M04_0051,M04,Local,Young Families,Saitama,42,Male,3,TRUE,0,Partnered,5-7M,5,3,4,3,5,4,5,5,3,6,5,6,4,6,6,5,5
M04_0052,M04,Local,Young Families,Chiba,29,Male,5,TRUE,0,Partnered,7-10M,5,5,4,2,4,3,5,6,5,4,4,7,6,5,5,4,5
M04_0053,M04,Local,Young Families,Osaka,30,Female,5,TRUE,5,Married,Under 3M,7,6,4,7,5,4,9,4,5,5,5,4,4,5,4,4,6
M04_0054,M04,Local,Young Families,Osaka,35,Male,5,TRUE,0,Married,5-7M,5,3,5,4,5,3,6,5,4,2,6,6,5,5,5,5,4
M04_0055,M04,Local,Young Families,Aichi,26,Other/Prefer not to say,3,TRUE,5,Partnered,3-5M,5,5,3,4,4,4,6,5,4,6,6,5,4,4,4,5,4
M04_0056,M04,Local,Young Families,Saitama,26,Male,4,TRUE,4,Married,5-7M,5,7,5,5,6,4,8,3,5,3,7,4,3,5,4,3,5
M04_0057,M04,Local,Young Families,Saitama,34,Female,3,TRUE,3,Married,3-5M,6,4,3,4,4,4,7,3,4,3,3,3,3,3,3,3,4
M04_0058,M04,Local,Young Families,Fukuoka,45,Male,3,TRUE,1,Partnered,7-10M,5,4,4,3,3,4,6,4,4,5,4,6,3,4,4,5,4
M04_0059,M04,Local,Young Families,Tokyo,40,Male,3,TRUE,2,Married,7-10M,5,4,5,5,5,3,6,5,4,5,5,4,3,4,5,5,5
M04_0060,M04,Local,Young Families,Osaka,43,Male,4,TRUE,3,Partnered,3-5M,7,6,6,5,6,4,7,5,5,4,4,6,4,5,4,4,4
M04_0061,M04,Local,Young Families,Tokyo,33,Female,4,TRUE,5,Married,5-7M,6,5,6,4,4,4,5,4,4,5,4,4,5,4,3,3,4
M04_0062,M04,Local,Young Families,Osaka,44,Male,4,TRUE,0,Married,Under 3M,7,6,4,6,6,6,7,5,3,5,4,5,4,5,4,5,4
M04_0063,M04,Local,Young Families,Aichi,45,Male,4,TRUE,4,Married,3-5M,7,4,5,4,5,1,3,3,3,5,6,3,5,5,5,5,5
M04_0064,M04,Local,Young Families,Hokkaido,38,Male,4,TRUE,5,Married,Under 3M,7,5,4,4,4,3,5,4,6,4,5,6,4,5,6,5,3
M04_0065,M04,Local,Young Families,Kanagawa,33,Male,3,TRUE,1,Married,5-7M,5,5,6,3,2,3,5,4,6,5,6,4,4,5,5,5,6
M04_0066,M04,Local,Young Families,Hokkaido,27,Male,4,TRUE,0,Partnered,7-10M,7,5,6,4,5,6,7,5,5,4,4,4,6,5,4,5,6
M04_0067,M04,Local,Young Families,Chiba,44,Other/Prefer not to say,3,TRUE,5,Married,5-7M,6,5,5,5,6,4,8,4,3,3,4,4,6,6,6,7,3
M04_0068,M04,Local,Young Families,Chiba,34,Female,3,TRUE,3,Married,3-5M,6,6,3,5,4,2,9,3,4,4,2,5,5,5,5,4,2
M04_0069,M04,Local,Young Families,Fukuoka,28,Female,4,TRUE,5,Married,5-7M,4,5,4,4,6,5,9,5,5,5,4,4,4,5,4,4,3
M04_0070,M04,Local,Young Families,Saitama,36,Female,3,TRUE,0,Married,7-10M,5,5,4,4,5,5,7,5,6,6,6,6,6,7,4,5,4
M04_0071,M04,Local,Young Families,Fukuoka,43,Female,4,TRUE,1,Married,5-7M,7,6,3,4,5,4,5,6,5,5,5,4,5,3,5,4,5
M04_0072,M04,Local,Young Families,Fukuoka,25,Male,3,TRUE,1,Married,7-10M,4,4,4,4,5,3,7,6,5,6,4,5,6,7,6,5,5
M04_0073,M04,Local,Young Families,Chiba,34,Female,4,TRUE,3,Married,3-5M,4,4,5,4,3,4,7,4,7,4,5,6,5,6,7,6,7
M04_0074,M04,Local,Young Families,Kanagawa,29,Female,4,TRUE,1,Married,3-5M,6,6,5,6,4,6,6,5,3,4,5,4,5,4,6,5,4
M04_0075,M04,Local,Young Families,Hokkaido,38,Male,3,TRUE,1,Partnered,5-7M,4,5,6,6,4,4,9,5,5,5,6,4,3,4,4,5,4
M04_0076,M04,Local,Young Families,Fukuoka,31,Male,3,TRUE,2,Partnered,Over 10M,5,5,4,4,4,6,7,5,4,4,3,4,3,4,4,5,4
M04_0077,M04,Local,Young Families,Kanagawa,29,Female,4,TRUE,1,Married,Under 3M,5,3,4,4,1,2,5,6,5,5,4,5,5,4,5,4,3
M04_0078,M04,Local,Young Families,Hokkaido,33,Female,5,TRUE,3,Married,5-7M,5,5,5,4,5,4,5,6,6,7,6,5,5,6,6,5,5
M04_0079,M04,Local,Young Families,Fukuoka,31,Female,4,TRUE,2,Married,Over 10M,6,7,6,5,5,3,9,6,6,5,5,5,5,5,7,5,6
M04_0080,M04,Local,Young Families,Kanagawa,36,Male,4,TRUE,1,Married,Under 3M,5,4,4,3,3,3,1,4,2,4,5,4,1,2,2,3,4
M04_0081,M04,Local,Young Families,Aichi,45,Female,3,TRUE,5,Married,Over 10M,7,4,5,2,2,4,4,5,6,5,5,5,5,5,6,3,5
M04_0082,M04,Local,Young Families,Aichi,39,Male,3,TRUE,1,Married,5-7M,5,5,4,5,6,5,10,4,5,5,5,4,4,4,5,4,5
M04_0083,M04,Local,Young Families,Fukuoka,38,Male,4,TRUE,1,Married,7-10M,5,5,5,6,3,4,5,4,3,4,4,5,4,6,4,4,3
M04_0084,M04,Local,Young Families,Chiba,38,Male,4,TRUE,3,Married,5-7M,5,4,4,5,6,4,9,6,6,4,6,5,4,4,4,6,4
M04_0085,M04,Local,Young Families,Hokkaido,32,Female,5,TRUE,4,Married,3-5M,6,6,3,4,4,5,4,4,5,4,5,4,5,4,6,6,7
M04_0086,M04,Local,Young Families,Chiba,33,Female,5,TRUE,0,Married,5-7M,4,6,4,5,5,4,7,5,5,5,5,4,7,5,5,4,6
M04_0087,M04,Local,Young Families,Tokyo,39,Female,3,TRUE,5,Married,Under 3M,6,5,6,4,4,3,6,3,6,4,6,5,6,5,6,5,6
M04_0088,M04,Local,Young Families,Osaka,29,Female,3,TRUE,5,Married,Over 10M,5,5,5,4,3,4,6,5,6,5,6,6,5,4,6,4,5
M04_0089,M04,Local,Young Families,Chiba,39,Female,3,TRUE,1,Married,7-10M,5,4,6,6,4,4,9,6,4,4,5,7,6,5,6,6,5
M04_0090,M04,Local,Young Families,Hokkaido,38,Male,3,TRUE,3,Married,5-7M,4,5,7,5,1,3,4,7,5,6,5,7,5,6,7,6,6
M04_0091,M04,Local,Young Families,Tokyo,45,Male,5,TRUE,0,Married,5-7M,6,4,5,5,5,5,7,3,4,5,3,5,5,5,5,5,3
M04_0092,M04,Local,Young Families,Kanagawa,35,Male,4,TRUE,3,Married,3-5M,4,4,4,5,4,3,8,7,5,5,5,5,5,5,5,4,4
M04_0093,M04,Local,Young Families,Aichi,35,Male,3,TRUE,4,Married,3-5M,6,5,7,5,4,5,6,6,3,5,5,5,7,6,6,6,6
M04_0094,M04,Local,Young Families,Aichi,44,Male,3,TRUE,1,Married,3-5M,6,5,3,4,6,5,8,5,5,6,6,7,4,4,5,4,4
M04_0095,M04,Local,Young Families,Kanagawa,31,Male,3,TRUE,3,Married,7-10M,5,3,5,6,4,4,4,3,4,3,4,4,3,4,4,2,4
M04_0096,M04,Local,Young Families,Kanagawa,36,Male,5,TRUE,5,Married,Under 3M,6,7,6,4,4,5,5,5,4,5,5,4,5,5,5,5,5
M04_0097,M04,Local,Young Families,Kanagawa,33,Male,4,TRUE,3,Married,3-5M,4,5,7,4,3,3,6,5,5,6,5,7,5,5,5,5,5
M04_0098,M04,Local,Young Families,Fukuoka,33,Female,4,TRUE,3,Married,7-10M,5,5,6,6,4,5,7,5,4,4,4,4,7,7,5,7,5
M04_0099,M04,Local,Young Families,Aichi,35,Female,3,TRUE,1,Married,Over 10M,5,5,5,5,7,5,8,3,5,7,5,6,6,6,6,5,7
M04_0100,M04,Local,Young Families,Kanagawa,25,Female,4,TRUE,1,Married,3-5M,5,5,3,3,5,3,5,5,6,6,6,4,4,3,4,4,5
M04_0101,M04,Local,Matured Families,Kanagawa,39,Male,5,TRUE,11,Married,3-5M,6,4,4,4,4,4,7,5,5,2,3,5,3,4,3,4,5
M04_0102,M04,Local,Matured Families,Fukuoka,41,Female,3,TRUE,15,Single,7-10M,4,4,3,3,4,3,5,5,4,3,4,5,5,4,5,6,3
M04_0103,M04,Local,Matured Families,Chiba,39,Male,3,TRUE,15,Married,3-5M,5,5,4,3,5,4,6,5,5,6,4,4,5,3,4,2,4
M04_0104,M04,Local,Matured Families,Chiba,47,Female,4,TRUE,15,Married,Over 10M,4,6,6,5,4,3,4,5,5,6,6,5,6,6,4,6,6
M04_0105,M04,Local,Matured Families,Chiba,54,Female,3,TRUE,16,Married,3-5M,7,6,5,6,5,4,6,5,3,3,6,4,4,5,2,4,4
M04_0106,M04,Local,Matured Families,Saitama,36,Female,4,TRUE,15,Married,5-7M,3,3,5,4,2,3,7,5,4,5,7,5,4,7,4,6,3
M04_0107,M04,Local,Matured Families,Fukuoka,39,Other/Prefer not to say,5,TRUE,9,Married,Under 3M,6,5,4,5,2,2,7,4,5,4,3,3,4,3,3,4,3
M04_0108,M04,Local,Matured Families,Aichi,36,Female,3,TRUE,16,Partnered,5-7M,5,6,5,6,4,5,4,6,3,5,5,5,4,5,7,6,5
M04_0109,M04,Local,Matured Families,Hokkaido,44,Female,3,TRUE,8,Married,3-5M,3,4,4,4,5,4,5,3,3,3,4,3,4,4,6,4,5
M04_0110,M04,Local,Matured Families,Osaka,48,Male,3,TRUE,12,Married,5-7M,7,4,4,6,5,4,8,4,3,4,5,4,5,5,4,6,5
M04_0111,M04,Local,Matured Families,Chiba,55,Male,4,TRUE,13,Married,3-5M,5,4,5,5,4,5,6,6,4,5,6,5,6,5,5,4,5
M04_0112,M04,Local,Matured Families,Osaka,38,Female,4,TRUE,12,Married,3-5M,6,5,5,5,3,2,6,6,3,3,6,5,4,4,4,5,3
M04_0113,M04,Local,Matured Families,Saitama,52,Female,3,TRUE,17,Partnered,3-5M,7,6,6,3,3,5,5,5,5,7,6,5,5,6,6,5,5
M04_0114,M04,Local,Matured Families,Fukuoka,49,Female,3,TRUE,10,Single,5-7M,6,4,5,5,4,4,4,3,3,4,5,4,4,4,6,4,4
M04_0115,M04,Local,Matured Families,Chiba,39,Female,5,TRUE,11,Single,7-10M,5,5,5,4,6,4,4,4,4,3,4,6,6,7,5,6,6
M04_0116,M04,Local,Matured Families,Osaka,42,Female,3,TRUE,7,Married,7-10M,5,3,5,5,5,4,3,4,4,4,3,4,5,6,5,5,4
M04_0117,M04,Local,Matured Families,Tokyo,53,Female,4,TRUE,17,Partnered,7-10M,6,5,3,3,5,5,3,5,5,5,6,5,4,5,5,4,5
M04_0118,M04,Local,Matured Families,Saitama,35,Male,3,TRUE,7,Married,5-7M,3,4,4,4,3,4,4,4,3,4,2,5,5,7,4,6,5
M04_0119,M04,Local,Matured Families,Aichi,37,Male,3,TRUE,16,Married,7-10M,5,5,5,5,3,4,7,4,5,4,6,5,3,4,5,4,4
M04_0120,M04,Local,Matured Families,Saitama,38,Female,5,TRUE,16,Married,3-5M,5,3,6,6,5,3,6,4,4,4,5,5,4,6,4,4,2
M04_0121,M04,Local,Matured Families,Tokyo,41,Other/Prefer not to say,3,TRUE,13,Married,3-5M,6,4,7,7,5,5,9,5,5,4,5,5,6,5,7,6,4
M04_0122,M04,Local,Matured Families,Fukuoka,44,Male,3,TRUE,8,Married,Over 10M,7,5,5,6,3,4,8,6,4,4,5,6,3,4,4,3,5
M04_0123,M04,Local,Matured Families,Saitama,38,Male,4,TRUE,7,Married,5-7M,4,5,7,4,3,2,6,5,6,6,6,5,6,6,7,5,7
M04_0124,M04,Local,Matured Families,Fukuoka,38,Female,4,TRUE,17,Partnered,5-7M,4,5,3,3,4,5,5,3,5,4,5,4,6,4,6,6,6
M04_0125,M04,Local,Matured Families,Tokyo,40,Female,3,TRUE,14,Partnered,5-7M,6,4,4,6,5,4,6,4,4,4,3,4,4,4,3,4,3
M04_0126,M04,Local,Matured Families,Aichi,44,Female,3,TRUE,11,Married,5-7M,3,3,3,3,2,3,1,5,4,4,4,7,4,4,4,5,5
M04_0127,M04,Local,Matured Families,Hokkaido,54,Female,3,TRUE,12,Married,7-10M,4,3,5,3,3,4,6,3,3,4,2,2,4,6,3,4,5
M04_0128,M04,Local,Matured Families,Fukuoka,44,Other/Prefer not to say,5,TRUE,11,Partnered,5-7M,6,3,4,3,4,3,6,4,2,5,6,5,5,5,7,5,5
M04_0129,M04,Local,Matured Families,Fukuoka,45,Female,3,TRUE,9,Married,3-5M,6,7,5,4,7,6,9,7,5,5,7,5,4,6,4,4,4
