respondent_id,month,region,segment,prefecture,age,gender,household_size,has_children,youngest_child_age,relationship_status,income_bracket,awareness,familiarity,opinion,consideration,likelihood,intent,nps,func_convenience,func_value,func_quality,func_variety,func_reliability,emot_excitement,emot_relaxation,emot_connection,emot_authenticity,emot_memorable
M03_0001,M03,Local,Young Families,Hokkaido,39,Female,5,TRUE,5,Partnered,7-10M,3,2,2,2,2,1,1,4,5,4,3,4,2,3,3,3,2
M03_0002,M03,Local,Young Families,Tokyo,38,Male,4,TRUE,2,Married,5-7M,6,4,4,4,4,3,5,3,5,3,3,5,4,4,7,3,5
M03_0003,M03,Local,Young Families,Osaka,29,Male,3,TRUE,4,Married,3-5M,7,6,6,5,4,3,7,5,4,5,4,4,6,6,4,5,5
M03_0004,M03,Local,Young Families,Osaka,36,Female,5,TRUE,0,Partnered,7-10M,5,4,3,3,2,2,3,3,4,4,1,5,1,5,5,2,5
M03_0005,M03,Local,Young Families,Aichi,32,Female,4,TRUE,0,Married,Over 10M,5,4,4,4,4,3,4,2,5,6,3,4,3,2,4,3,3
M03_0006,M03,Local,Young Families,Fukuoka,40,Male,3,TRUE,5,Married,5-7M,5,4,4,4,3,3,6,5,1,3,4,5,4,4,6,2,4
M03_0007,M03,Local,Young Families,Fukuoka,41,Female,4,TRUE,4,Married,5-7M,6,5,4,3,2,2,4,4,5,3,5,6,5,4,3,1,4
M03_0008,M03,Local,Young Families,Saitama,33,Female,5,TRUE,0,Married,Over 10M,5,4,3,3,2,2,3,5,2,3,4,3,5,2,4,2,5
M03_0009,M03,Local,Young Families,Saitama,28,Female,3,TRUE,1,Partnered,3-5M,5,4,3,3,2,2,4,4,4,3,5,3,4,4,5,2,4
M03_0010,M03,Local,Young Families,Fukuoka,32,Male,3,TRUE,1,Married,3-5M,7,6,5,5,4,4,6,4,7,7,4,5,4,3,6,6,6
M03_0011,M03,Local,Young Families,Kanagawa,43,Female,3,TRUE,1,Married,Over 10M,4,3,3,2,1,1,2,3,3,2,4,4,3,6,3,2,4
M03_0012,M03,Local,Young Families,Kanagawa,39,Male,4,TRUE,5,Partnered,Under 3M,6,5,5,5,4,4,6,2,3,4,3,2,6,5,5,4,5
M03_0013,M03,Local,Young Families,Saitama,43,Female,4,TRUE,1,Partnered,3-5M,5,5,5,4,3,3,6,4,4,5,5,6,5,7,6,5,5
M03_0014,M03,Local,Young Families,Aichi,44,Female,5,TRUE,3,Married,3-5M,5,4,4,3,2,2,4,5,2,1,5,4,3,5,3,4,5
M03_0015,M03,Local,Young Families,Tokyo,40,Male,5,TRUE,3,Married,Under 3M,6,4,4,3,3,3,5,4,3,5,3,2,4,5,4,4,7
M03_0016,M03,Local,Young Families,Fukuoka,32,Other/Prefer not to say,3,TRUE,1,Married,5-7M,5,4,4,4,3,3,5,4,3,5,3,5,3,4,3,5,4
