respondent_id,month,region,segment,prefecture,age,gender,household_size,has_children,youngest_child_age,relationship_status,income_bracket,awareness,familiarity,opinion,consideration,likelihood,intent,nps,func_convenience,func_value,func_quality,func_variety,func_reliability,emot_excitement,emot_relaxation,emot_connection,emot_authenticity,emot_memorable
M05_0001,M05,Local,Young Families,Kanagawa,44,Female,4,TRUE,1,Married,5-7M,6,5,5,4,2,4,6,6,5,6,7,5,6,4,7,5,5
M05_0002,M05,Local,Young Families,Fukuoka,37,Male,3,TRUE,4,Married,Under 3M,6,4,4,3,4,5,8,6,4,4,5,6,5,5,4,4,5
M05_0003,M05,Local,Young Families,Osaka,38,Female,3,TRUE,4,Married,3-5M,4,4,3,5,4,5,5,4,3,4,5,3,5,4,6,4,5
M05_0004,M05,Local,Young Families,Osaka,35,Female,3,TRUE,5,Married,3-5M,7,4,6,4,6,6,6,4,5,6,5,6,5,5,5,5,4
M05_0005,M05,Local,Young Families,Tokyo,37,Male,4,TRUE,0,Partnered,5-7M,5,7,3,3,6,3,6,4,5,3,4,4,5,6,4,3,4
M05_0006,M05,Local,Young Families,Saitama,40,Female,5,TRUE,2,Married,5-7M,4,6,4,3,4,4,8,5,5,4,3,6,4,4,5,4,3
M05_0007,M05,Local,Young Families,Osaka,30,Female,5,TRUE,3,Married,Under 3M,5,5,4,5,6,4,5,5,4,4,3,4,5,5,5,3,5
M05_0008,M05,Local,Young Families,Hokkaido,41,Male,3,TRUE,4,Married,Under 3M,6,5,4,4,4,3,5,6,5,5,4,5,5,3,6,4,4
M05_0009,M05,Local,Young Families,Kanagawa,28,Female,3,TRUE,0,Married,3-5M,7,5,3,4,3,4,6,4,4,4,4,6,5,3,3,2,3
M05_0010,M05,Local,Young Families,Aichi,38,Male,3,TRUE,1,Married,3-5M,7,6,3,5,4,2,10,3,3,5,5,6,6,3,3,4,5
M05_0011,M05,Local,Young Families,Hokkaido,25,Female,4,TRUE,4,Partnered,7-10M,7,7,7,7,4,4,8,5,6,6,6,6,5,5,6,6,7
M05_0012,M05,Local,Young Families,Tokyo,38,Female,4,TRUE,3,Married,3-5M,6,5,5,3,3,4,6,6,5,6,3,5,6,5,4,7,5
M05_0013,M05,Local,Young Families,Tokyo,38,Male,5,TRUE,5,Married,5-7M,6,5,5,4,3,4,7,6,5,5,5,5,4,3,4,4,4
M05_0014,M05,Local,Young Families,Hokkaido,43,Male,5,TRUE,4,Married,3-5M,4,4,4,4,4,3,7,6,4,4,4,5,4,4,6,5,6
M05_0015,M05,Local,Young Families,Saitama,45,Male,4,TRUE,3,Married,Over 10M,5,4,4,3,3,4,5,7,6,5,5,6,4,7,4,4,3
M05_0016,M05,Local,Young Families,Chiba,27,Male,3,TRUE,2,Married,3-5M,5,5,3,5,4,4,8,5,5,5,3,6,3,4,4,3,4
M05_0017,M05,Local,Young Families,Tokyo,35,Male,4,TRUE,5,Married,5-7M,4,5,6,5,5,5,8,5,5,5,5,5,5,5,5,4,3
M05_0018,M05,Local,Young Families,Chiba,26,Male,3,TRUE,1,Married,3-5M,6,6,5,6,4,3,5,4,4,4,4,4,5,5,5,5,6
M05_0019,M05,Local,Young Families,Tokyo,31,Female,3,TRUE,4,Married,3-5M,6,5,3,3,3,3,7,4,5,4,4,5,5,3,5,3,4
M05_0020,M05,Local,Young Families,Chiba,36,Male,5,TRUE,0,Married,7-10M,7,6,5,3,5,4,7,7,7,6,5,5,6,5,5,5,4
M05_0021,M05,Local,Young Families,Hokkaido,32,Female,4,TRUE,3,Married,5-7M,5,5,5,3,4,3,5,6,5,5,6,5,4,4,5,4,4
M05_0022,M05,Local,Young Families,Tokyo,30,Male,4,TRUE,3,Married,Under 3M,4,4,5,4,4,5,6,5,5,4,4,4,4,6,5,4,5
M05_0023,M05,Local,Young Families,Hokkaido,26,Female,4,TRUE,3,Partnered,3-5M,5,4,5,7,5,3,5,6,6,6,5,7,5,5,7,5,6
M05_0024,M05,Local,Young Families,Saitama,36,Female,5,TRUE,1,Married,Under 3M,5,6,5,5,4,3,4,5,4,5,6,5,6,6,5,5,5
M05_0025,M05,Local,Young Families,Fukuoka,25,Male,4,TRUE,2,Married,5-7M,6,4,6,5,7,6,8,5,5,7,5,6,6,5,7,4,3
M05_0026,M05,Local,Young Families,Osaka,33,Male,5,TRUE,5,Married,3-5M,5,7,5,5,5,3,8,5,4,3,6,5,5,4,6,3,3
M05_0027,M05,Local,Young Families,Chiba,45,Male,3,TRUE,5,Married,5-7M,7,6,5,5,4,6,8,6,4,4,4,5,5,4,5,5,5
M05_0028,M05,Local,Young Families,Tokyo,29,Female,4,TRUE,2,Partnered,Under 3M,7,5,6,5,4,3,8,4,7,7,5,4,6,7,5,5,6
M05_0029,M05,Local,Young Families,Fukuoka,27,Female,4,TRUE,3,Married,7-10M,3,2,2,4,3,2,4,4,3,4,5,5,5,5,5,6,6
M05_0030,M05,Local,Young Families,Hokkaido,39,Male,4,TRUE,1,Married,Under 3M,5,3,3,3,3,3,5,6,4,4,5,5,5,6,6,5,5
M05_0031,M05,Local,Young Families,Aichi,33,Male,3,TRUE,1,Married,7-10M,7,5,4,6,3,3,6,5,6,5,4,5,6,6,7,7,7
M05_0032,M05,Local,Young Families,Saitama,35,Female,5,TRUE,1,Married,3-5M,6,6,4,4,7,6,10,6,5,5,5,6,5,2,6,3,5
M05_0033,M05,Local,Young Families,Aichi,40,Female,5,TRUE,4,Married,3-5M,6,6,5,5,4,4,7,4,6,5,5,5,3,2,3,3,4
M05_0034,M05,Local,Young Families,Fukuoka,37,Female,5,TRUE,4,Married,5-7M,4,4,5,3,4,3,6,5,6,5,4,5,5,6,5,5,5
M05_0035,M05,Local,Young Families,Kanagawa,43,Male,3,TRUE,3,Married,3-5M,3,3,2,4,3,5,8,5,5,4,5,5,4,4,2,5,3
M05_0036,M05,Local,Young Families,Fukuoka,29,Female,5,TRUE,5,Married,7-10M,6,6,6,4,4,3,5,4,5,5,5,6,5,4,5,4,5
M05_0037,M05,Local,Young Families,Aichi,30,Female,4,TRUE,5,Partnered,7-10M,4,4,5,4,2,5,5,4,3,4,3,3,3,5,4,3,4
M05_0038,M05,Local,Young Families,Aichi,28,Male,5,TRUE,3,Partnered,Under 3M,6,5,6,7,4,5,10,6,4,4,5,4,4,4,6,6,4
M05_0039,M05,Local,Young Families,Kanagawa,43,Male,3,TRUE,5,Partnered,7-10M,6,5,7,5,4,5,3,7,5,5,5,7,7,7,6,7,7
M05_0040,M05,Local,Young Families,Hokkaido,26,Female,3,TRUE,2,Partnered,3-5M,4,5,4,4,3,3,5,5,5,5,6,7,3,6,4,4,4
M05_0041,M05,Local,Young Families,Aichi,42,Female,4,TRUE,1,Married,3-5M,6,7,5,3,4,5,6,5,4,5,4,4,6,6,4,5,5
M05_0042,M05,Local,Young Families,Aichi,34,Male,4,TRUE,4,Married,7-10M,7,7,4,3,4,3,6,5,4,5,4,6,7,7,7,7,6
M05_0043,M05,Local,Young Families,Chiba,36,Male,4,TRUE,0,Partnered,5-7M,7,5,4,5,4,4,7,6,3,4,6,7,6,5,5,5,7
M05_0044,M05,Local,Young Families,Fukuoka,33,Female,4,TRUE,5,Partnered,7-10M,6,4,5,5,4,5,9,5,5,6,3,5,4,4,3,5,4
M05_0045,M05,Local,Young Families,Chiba,42,Male,4,TRUE,1,Married,3-5M,5,5,4,4,2,4,5,5,4,4,4,5,4,3,3,6,6
